edge_id,length_m,speed_kmh,lanes,capacity_veh_hr,freeflow_min,is_highway,betweenness,avg_degree,mid_lat,mid_lon
170,273.3613197169692,40.0,2,2000,0.4100419795754538,0,0.0,1.0,34.05817130323467,-118.21505084123795
171,613.9790087407255,40.0,2,2000,0.9209685131110883,0,0.0,1.0,34.05553828215012,-118.22876432462097
172,312.6677839262738,40.0,2,2000,0.4690016758894108,0,0.0,1.0,34.05369199352377,-118.22426723771382
173,1153.0824345240696,40.0,2,2000,1.7296236517861043,0,0.0,1.0,34.05680513965612,-118.22031923275847
174,167.37846717576377,40.0,2,2000,0.25106770076364565,0,0.0,1.0,34.05373480376767,-118.22622986875798
175,384.0101998735871,40.0,2,2000,0.5760152998103807,0,0.0,1.0,33.88015726751855,-118.1921231967827
176,948.6541959345573,40.0,2,2000,1.4229812939018358,0,0.0,1.0,33.878054601676006,-118.19229526782982
177,814.5341546056964,40.0,2,2000,1.2218012319085445,0,0.0,1.0,33.874859487572714,-118.19339492166057
178,622.3048148371597,40.0,2,2000,0.9334572222557396,0,0.0,1.0,33.876077270143334,-118.19412963015868
179,118.28513115739247,40.0,2,2000,0.1774276967360887,0,0.0,1.0,33.876263887142166,-118.18937378377406
180,328.69679746700166,40.0,2,2000,0.49304519620050247,0,0.0,1.0,33.87650898823835,-118.18828695578914
181,237.14049125356888,40.0,2,2000,0.35571073688035326,0,0.0,1.0,33.9288835933487,-118.29281060126009
182,346.60349245944434,40.0,2,2000,0.5199052386891665,0,0.0,1.0,33.928584837085154,-118.29593876503141
183,575.4669113477077,40.0,2,2000,0.8632003670215616,0,0.0,1.0,34.055148693054434,-118.20263919774254
184,459.74948003239354,40.0,2,2000,0.6896242200485904,0,0.0,1.0,34.05822773105874,-118.20060681010037
185,179.96614209558385,40.0,2,2000,0.2699492131433758,0,0.0,1.0,34.05566357570526,-118.20219091006197
186,408.0856938934188,40.0,2,2000,0.6121285408401282,0,0.0,1.0,34.05410281759394,-118.20740971333349
187,281.9969406227848,40.0,2,2000,0.4229954109341772,0,0.0,1.0,34.06120240067018,-118.1987732953371
188,751.7850597687909,40.0,2,2000,1.1276775896531865,0,0.0,1.0,34.06152281867202,-118.20289674911567
189,459.74948003239354,40.0,2,2000,0.6896242200485904,0,0.0,1.0,34.05822773105874,-118.20060681010037
190,44.1823325468428,40.0,2,2000,0.06627349882026419,0,0.0,1.0,34.054834113083736,-118.2028012729969
191,179.96614209558385,40.0,2,2000,0.2699492131433758,0,0.0,1.0,34.05566357570526,-118.20219091006197
192,260.080023902024,40.0,2,2000,0.390120035853036,0,0.0,1.0,34.0411580371827,-118.21299643666445
193,781.0838287841873,40.0,2,2000,1.1716257431762809,0,0.0,1.0,34.03748523271898,-118.2137224876666
